"","months","Months.closed","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"1","1","1",0,176931.359818497,136946.525494931,89774.263380513,50407.22182277,28308.6103558701,15901.4641307893,8934.22803056919,5020.97110640099,2822.53618423521,1587.17121330337,892.797551255263,502.389899687084,282.815134309881,159.277683454776,89.746226965368,50.5949128544146,28.5397040631377,37.0749777838275,129737.79628666,507897.243221432,580870516.648782,0
"2","1","1",1,176634.670228883,136696.325005966,105804.232650994,51662.921312853,29008.1392658307,16290.9218546592,9150.90872610205,5141.43254819034,2889.44765923203,1624.30143448525,913.378716964406,513.783437501539,289.11325895145,162.753282285432,91.6604616663864,51.6467870327711,29.1161509234467,37.7596653827122,113368.417556802,443814.434910334,608066825.710384,-21758.0380426457
"3","1","1",2,179045.497733043,136467.104043615,105610.928946149,60887.7816445731,29730.7640082224,16693.4838548416,9375.03224419425,5266.12705752739,2958.77031089242,1662.8073730195,934.74626288475,525.627401512153,295.669964909462,166.377700972074,93.6605848881404,52.7483828911951,29.7214791195369,38.4854178186202,119183.629062655,464536.621724103,635487551.500358,-1035.85122887662
"4","1","1",3,183788.75083056,138329.697878761,105433.833923537,60776.5400290273,35039.4484294991,17109.3369490259,9606.6969569507,5395.10473156833,3030.52899073499,1702.70088551483,956.905500929851,537.923908350116,302.485880269515,170.150926963855,95.7463503443178,53.8994055198466,30.3554209421627,39.2514225883894,125031.129740894,485426.778389128,659854590.817259,19854.3054361487
"5","1","1",4,189139.483858555,141994.312606579,106872.865039923,60674.6261188089,34975.4315652638,20164.3566752108,9846.01037344166,5528.4221810847,3104.75252846372,1743.99627342024,979.863254291787,550.67601489344,309.562223101758,174.073321708872,97.9177508122083,55.0997131868984,31.0178066778305,40.0570580558567,130070.395419838,507239.972402291,681148439.259941,41667.4994493117
"6","1","1",5,193150.782950451,146128.263432285,109704.128906144,61502.7537862838,34916.7825702619,20127.5165152903,11604.1004738764,5666.14127495105,3181.47350221096,1786.71012753439,1003.62775310921,563.887647724449,316.900752565693,178.14558617709,100.174994296467,56.3493017358552,31.7085547632954,40.9018688183991,134326.367799751,525294.877054415,700716777.798779,59722.4041014353
"7","1","1",6,196187.577104735,149227.373985239,112897.999603849,63132.0777910548,35393.3500508594,20093.7654345266,11582.8998512096,6677.87968526455,3260.72751602043,1830.86119578598,1028.20854498622,577.563543089249,324.503728314652,182.368732722335,102.518484188386,57.6482908683742,32.4276628065947,41.7855458651224,138188.957515153,540889.418932157,719445465.211981,75316.9459791774
"8","1","1",7,198830.681840967,151573.586669729,115292.357640833,64970.0732735637,36330.9866816925,20368.0185146774,11563.4769190232,6665.67923872923,3842.95854652938,1876.46996744264,1053.61641890318,591.709195403508,332.373875943931,186.744061720548,104.948803073152,58.9969127264061,33.1751996931424,42.7079099912003,141949.533005953,555581.01288234,737296859.625774,90008.5399293606
"9","1","1",8,201406.373968315,153615.636786901,117105.030374379,66347.9685210604,37388.7087103742,20907.6057600047,11721.3029458387,6654.50181014978,3835.93748408229,2211.52986971764,1079.86316593898,606.33081346497,340.514357357106,191.273141686024,107.466699285727,60.3955025736614,33.9512990150269,43.6688977104741,145577.469633833,569789.303297376,753960073.045856,104216.830344397
"10","1","1",9,203893.278829843,155605.604243865,118682.708558629,67391.1179190365,38181.6541611996,21516.2992527826,12031.8223792158,6745.32687846509,3829.50514377188,2207.48941777654,1272.68205093451,621.435182754882,348.92874556739,195.957792217936,110.073075468222,61.8444910588452,34.7561537084199,44.6685493672141,148973.646577816,583352.070061596,769272140.325886,117779.597108616
